INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT
196	1	0	2841	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2888
197	1	0	2941	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_03}	679	-1	Ðêm xuân liên hoan hµi	2988
198	1	0	3041	0	808000	46	0	0	0	0	0	4	60	#{BCW_20080317_04}	649	6	#{BCW_20080317_04}	660	60	#{BCW_20080317_05}	670	60	-1	675	5	#{BCW_20080317_06}	679	-1	Ðêm xuân liên hoan hµi	3088
199	0	1	85	0	50030	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	08BOSS Xuân Vãn	95
200	1	1	45	-1	808123	50	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Trân Long Chi Quang cüa phòng nghï ng½i KÏ Cuµc	94
201	1	0	35937	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	35995
202	1	0	36037	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	36095
203	1	0	36137	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	36195
204	1	0	36237	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	36295
205	1	0	36337	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	36395
206	1	0	36437	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	36495
207	1	0	36537	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	36595
208	1	0	37	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	95
209	1	0	137	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	195
210	1	0	237	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	295
211	1	0	337	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	395
212	1	0	437	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	495
213	1	0	537	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	595
214	1	0	637	0	808000	40	0	0	0	0	0	4	120	#{SDYD_081007_001}	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Thi®p chúc môn phái	695
215	1	0	3940	0	808000	48	0	0	0	0	0	4	120	#GT× 9 tháng 2 ðªn 15 tháng 2#P, các b¢ng hæu ðÕt c¤p #G10#P  ðªn g£p NPC #GÐÕi lý(159,144), Tô Châu(175,163), LÕc Dß½ng(164,135) ðång lung #P ð¬ nh§n quà. Hãy nhanh chân !	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ŸôÖi	3995
216	1	0	4040	0	808000	48	0	0	0	0	0	4	120	#GT× 9 tháng 2 ðªn 15 tháng 2#P, các b¢ng hæu ðÕt c¤p #G10#P  ðªn g£p NPC #GÐÕi lý(159,144), Tô Châu(175,163), LÕc Dß½ng(164,135) ðång lung #P ð¬ nh§n quà. Hãy nhanh chân !	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ŸôÖi	4095
217	1	0	4140	0	808000	48	0	0	0	0	0	4	120	#GT× 9 tháng 2 ðªn 15 tháng 2#P, các b¢ng hæu ðÕt c¤p #G10#P  ðªn g£p NPC #GÐÕi lý(159,144), Tô Châu(175,163), LÕc Dß½ng(164,135) ðång lung #P ð¬ nh§n quà. Hãy nhanh chân !	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ŸôÖi	4195
218	1	0	4240	0	808000	48	0	0	0	0	0	4	120	#GT× 9 tháng 2 ðªn 15 tháng 2#P, các b¢ng hæu ðÕt c¤p #G10#P  ðªn g£p NPC #GÐÕi lý(159,144), Tô Châu(175,163), LÕc Dß½ng(164,135) ðång lung #P ð¬ nh§n quà. Hãy nhanh chân !	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ŸôÖi	4295
219	1	0	4340	0	808000	48	0	0	0	0	0	4	120	#GT× 9 tháng 2 ðªn 15 tháng 2#P, các b¢ng hæu ðÕt c¤p #G10#P  ðªn g£p NPC #GÐÕi lý(159,144), Tô Châu(175,163), LÕc Dß½ng(164,135) ðång lung #P ð¬ nh§n quà. Hãy nhanh chân !	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ŸôÖi	4395
220	1	0	4440	0	808000	48	0	0	0	0	0	4	120	#GT× 9 tháng 2 ðªn 15 tháng 2#P, các b¢ng hæu ðÕt c¤p #G10#P  ðªn g£p NPC #GÐÕi lý(159,144), Tô Châu(175,163), LÕc Dß½ng(164,135) ðång lung #P ð¬ nh§n quà. Hãy nhanh chân !	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ŸôÖi	4495
221	1	0	4540	0	808000	48	0	0	0	0	0	4	120	#GT× 9 tháng 2 ðªn 15 tháng 2#P, các b¢ng hæu ðÕt c¤p #G10#P  ðªn g£p NPC #GÐÕi lý(159,144), Tô Châu(175,163), LÕc Dß½ng(164,135) ðång lung #P ð¬ nh§n quà. Hãy nhanh chân !	840	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	ŸôÖi	4595
222	1	1	0	158	808106	95	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	N/A	95
223	1	0	8676	0	808000	88	0	0	0	0	0	4	60	#{MDW_20080317_01}	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	N/A	8695
224	1	0	8712	0	808000	75	0	0	0	0	0	4	120	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	840	60	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	960	30	#PSñ ki®n ðÕi hµi C¥u Mây ðã b¡t ð¥u! Xin m¶i b¢ng hæu hãy ðªn #Gthành LÕc Dß½ng Ðoan Vß½ng Phü [204,57] #Ptìm #YÐ°ng Quán #PðÕi nhân, #GÐÕi Lý [282,84] #YHÕ Thanh Thanh#P, #GTô Châu [187,147] #YVu Thiên Thiên #Ptham gia sñ ki®n!	1140	30	#PThe Soccer game will finish at #Y 11:00pm #P today, keep an eye on your remaining time.	1200	5	#PTr§n ð¤u C¥u May hôm nay ðªn ðây kªt thúc, mong các anh hùng hãy ðón xem tr§n ð¤u kª tiªp trong tháng sau, cám ½n!	1205	-1	Thông báo hoÕt ðµng túc c¥u cüa chü nh§t này	8795
225	1	1	2	0	808076	88	0	0	0	0	0	4	240	#{TLXQC_090629_2}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	N/A	95
226	1	1	2	0	808076	88	0	0	0	0	0	4	240	#{TLXQC_090629_3}	1438	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	N/A	95
227	1	1	76	0	808076	88	0	0	0	0	0	4	60	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	240	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	N/A	95
228	1	1	12	0	808076	75	0	0	0	0	0	4	120	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	840	60	#PTr§n ð¤u C¥u Mây ðßþc mong ðþi nh¤t trong tháng vào lúc #Y19:00 #Ps¨ chính thÑc khai mÕc! Xin m¶i các v¸ anh hùng chu¦n b¸ t± ðµi, lînh song kinh nghi®m, thu¯c dßþc... ð¬ tham gia sñ ki®n ðÕt ðßþc thành công!	960	60	#PSñ ki®n ðÕi hµi C¥u Mây ðã b¡t ð¥u! Xin m¶i b¢ng hæu hãy ðªn #Gthành LÕc Dß½ng Ðoan Vß½ng Phü [204,57] #Ptìm #YÐ°ng Quán #PðÕi nhân, #GÐÕi Lý [282,84] #YHÕ Thanh Thanh#P, #GTô Châu [187,147] #YVu Thiên Thiên #Ptham gia sñ ki®n!	1140	30	#PThe Soccer game will finish at #Y 11:00pm #P today, keep an eye on your remaining time.	1200	5	#PTr§n ð¤u C¥u May hôm nay ðªn ðây kªt thúc, mong các anh hùng hãy ðón xem tr§n ð¤u kª tiªp trong tháng sau, cám ½n!	1205	-1	Thông báo hoÕt ðµng túc c¥u cüa chü nh§t này	95
229	1	1	1	0	808000	95	0	0	0	0	0	4	58	#{ZYJ_090817_1}	1425	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	N/A	95

#T¯ng Liêu chiªn trß¶ng
230	0	1	82	314	910098	0	0	0	0	0	0	4	11	#GChiªn trß¶ng T¯ng Liêu#R rñc lØa ðã b¡t ð¥u báo danh. Hãy b¡t ð¥u ðªn #GTô Châu#R tìm #GChu Nhiên#R tiªn hành báo danh ði nào. Sau #G30 phút#R næa chiªn trß¶ng s¨ khai höa, các v¸ anh hùng mau kh¦n trß½ng lên.	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Báo danh Chiªn trß¶ng T¯ng Liêu	0
232	0	1	84	1	910096	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	B¡t ð¥u m· Chiªn trß¶ng T¯ng Liêu	0
233	0	1	88	314	910097	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Kªt thúc Chiªn trß¶ng T¯ng Liêu	0

#Tàng Kinh Các
234	0	1	50	30	910126	0	0	0	0	0	0	4	11	#GThiªu Lâm Tñ#R phát thi®p c¥u cÑu t¾i t¤t cä võ lâm qu¥n hùng. #GThiªu Lâm Tñ#R ðang b¸ mµt ðám #GÁc tång#R t¤n công. Hãy ðªn g£p #GThiªu Lâm vân du tång nhân#R tÕi #GThái H°#R, #GTây H°#R, #GNhÕn Nam#R ð¬ ðánh ðu±i b÷n chúng!	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
235	0	1	50	4	910126	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
236	0	1	50	18	910126	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
237	0	1	58	30	910126	0	0	0	0	0	0	4	11	#GThiªu Lâm Tñ#R phát thi®p c¥u cÑu t¾i t¤t cä võ lâm qu¥n hùng. #GThiªu Lâm Tñ#R ðang b¸ mµt ðám #GÁc tång#R t¤n công. Hãy ðªn g£p #GThiªu Lâm vân du tång nhân#R tÕi #GThái H°#R, #GTây H°#R, #GNhÕn Nam#R ð¬ ðánh ðu±i b÷n chúng!	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
238	0	1	58	4	910126	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
239	0	1	58	18	910126	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
240	0	1	66	30	910126	0	0	0	0	0	0	4	11	#GThiªu Lâm Tñ#R phát thi®p c¥u cÑu t¾i t¤t cä võ lâm qu¥n hùng. #GThiªu Lâm Tñ#R ðang b¸ mµt ðám #GÁc tång#R t¤n công. Hãy ðªn g£p #GThiªu Lâm vân du tång nhân#R tÕi #GThái H°#R, #GTây H°#R, #GNhÕn Nam#R ð¬ ðánh ðu±i b÷n chúng!	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
241	0	1	66	4	910126	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
242	0	1	66	18	910126	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
243	0	1	74	30	910126	0	0	0	0	0	0	4	11	#GThiªu Lâm Tñ#R phát thi®p c¥u cÑu t¾i t¤t cä võ lâm qu¥n hùng. #GThiªu Lâm Tñ#R ðang b¸ mµt ðám #GÁc tång#R t¤n công. Hãy ðªn g£p #GThiªu Lâm vân du tång nhân#R tÕi #GThái H°#R, #GTây H°#R, #GNhÕn Nam#R ð¬ ðánh ðu±i b÷n chúng!	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
244	0	1	74	4	910126	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
245	0	1	74	18	910126	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
246	0	1	82	30	910126	0	0	0	0	0	0	4	11	#GThiªu Lâm Tñ#R phát thi®p c¥u cÑu t¾i t¤t cä võ lâm qu¥n hùng. #GThiªu Lâm Tñ#R ðang b¸ mµt ðám #GÁc tång#R t¤n công. Hãy ðªn g£p #GThiªu Lâm vân du tång nhân#R tÕi #GThái H°#R, #GTây H°#R, #GNhÕn Nam#R ð¬ ðánh ðu±i b÷n chúng!	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
247	0	1	82	4	910126	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0
248	0	1	82	18	910126	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Tàng Kinh Các	0

#Tân CÕnh KÛ Trß¶ng
249	0	1	72	421	900009	0	0	0	0	0	0	4	11	#GVu Cßu Liên#R hô to: #GBäo sß½ng l¤p lánh#R ðã xu¤t hi®n tÕi #GCÕnh KÛ Trß¶ng#R. Các v¸ anh hùng ai có th¬ chÑng tö bän lînh cüa mình b¢ng cách ðoÕt l¤y bäo sß½ng ðây. Hãy mau mau ðªn NPC tiªp dçn #GCÕnh KÛ Trß¶ng#R · các thành th¸ tham gia hoÕt ðµng nào!	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Báo danh Tân CÕnh KÛ Trß¶ng	0
250	0	1	48	421	900009	0	0	0	0	0	0	4	11	#GVu Cßu Liên#R hô to: #GBäo sß½ng l¤p lánh#R ðã xu¤t hi®n tÕi #GCÕnh KÛ Trß¶ng#R. Các v¸ anh hùng ai có th¬ chÑng tö bän lînh cüa mình b¢ng cách ðoÕt l¤y bäo sß½ng ðây. Hãy mau mau ðªn NPC tiªp dçn #GCÕnh KÛ Trß¶ng#R · các thành th¸ tham gia hoÕt ðµng nào!	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Báo danh Tân CÕnh KÛ Trß¶ng	0

#Chiªn trß¶ng Phøng Hoàng C± Thành
#251	0	2	658	442	930507	0	0	0	0	0	0	4	11	#GChiªn trß¶ng Phøng Hoàng C± Thành#R rñc lØa ðã b¡t ð¥u báo danh. Hãy b¡t ð¥u ðªn quäng trß¶ng thành #GLÕc Dß½ng#R tìm #GLý Dã#R tiªn hành báo danh ði nào. Sau #G30 phút#R næa chiªn trß¶ng s¨ khai höa, các v¸ anh hùng mau kh¦n trß½ng lên.	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Báo danh Chiªn trß¶ng Phøng Hoàng C± Thành	0
#253	0	2	660	0	930505	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	B¡t ð¥u m· Chiªn trß¶ng Phøng Hoàng C± Thành	0
#254	0	2	664	442	930506	0	0	0	0	0	0	4	11	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	Kªt thúc Chiªn trß¶ng Phøng Hoàng C± Thành	0


